path,size,sha256
.gitattributes,87,9aa58bb33b75bd5c4408d0d2e682b9f077852a7be51ddb769168c128fc300aa3
Data/BRY/eccofs3km_bry_Mercator_monthly_2018_BiasCor.nc4,133,1f05459bee86e21cff3e61fe60aa8986ef7085ed97029d6878dcacb829c15585
Data/BRY/eccofs3km_bry_Mercator_monthly_2019_BiasCor.nc4,133,318d4a862bcfa3500e7a7f1a85fa9d54015ca13537e33fac490ab4d309234e6a
Data/BRY/eccofs6km_bry_empty.nc4,131,b1eff7d306b2cdd5764749d3710c34a6455a968d81698c9d3c7cba2e334f5cd1
Data/CLM/eccofs3km_clm_Mercator_Dec2018.nc4,134,c095e2a3d0884be3fa6e6f0096e40392e7bdeb03fe355c4cb03bdff875218505
Data/CLM/eccofs3km_clm_Mercator_Jan2019.nc4,134,081ca814c8081a1d1e1818b7b460e153598b7a32f9c4b3763c60db7ce6890367
Data/CLM/eccofs3km_nudgcoef_10days.nc4,133,d192c9279db7a61c66a634b5efe8ac49c9335fef7007b1233a21f909fd277926
Data/CLM/eccofs6km_nudgcoef_10days.nc4,133,cf5223d0ee3045db986ac3aa315f7124b13744d244e5f17be5bba5d23f359af6
Data/FRC/frc_eccofs_ERA5_allflux_Jan2019.nc4,134,a7d5b9f06d5fca64a2ab1b1a15fcb10c163fda93ca7268ae0eda761e6de25cab
Data/GRD/eccofs3km_Bcorr.nc4,134,b1d17694a20b43e304fac98955aa0f48ae36f007bdab926c9216f53679ccf86e
Data/GRD/eccofs3km_rivers_GloFAS_2011-2024_v5.nc4,132,ef90fd4a7b2aa55ffff99c31aa63582616c446ae725f4e82d600cc966a499c61
Data/GRD/eccofs3km_roms_grd.nc4,134,40cc03fef6cd8c6fcfb16600b359ca0b7383fa3308b51a716673ceb99afe8724
Data/GRD/eccofs6km_Bcorr.nc4,133,8a0dea02b7e529d6ac0ed678f4563acffcb2d821fcc2d8b5a99de9a8762aaca1
Data/GRD/eccofs6km_roms_grd.nc4,133,fbe34dc56af6f8d66fee12e812bf267c2ace87125922e361f8ace4f7cef9909c
Data/GRD/tides_tpxo_eccofs3km_01.nc4,134,7179e27c64849d60fca89c7fc00a34fb5ca476efb4f0cb2c8bc28074565ce7ff
Data/GRD/tides_tpxo_eccofs6km_01.nc4,134,ee838c7b82253cf6781f658c172056e14f56f27376446998542d20b51b1110cf
Data/INI/eccofs3km_roms_ini_20190101.nc4,135,23c5dbd1bb7b2f60b94a32371da851d5b712ea95ba1b622bc2bbbb8d0c2a2151
Data/INI/eccofs6km_roms_ini.nc4,134,adf08d8322cb6fe6c7e9cb13e8e88a06b076591de3f94c002e1f1d5bdd704293
Data/NRM/eccofs3km_roms_nrm_b.nc4,133,7a2aa7ae1502a43c40a4e5c324748df32981f110fd4c331d601de4b2be31183c
Data/NRM/eccofs3km_roms_nrm_i.nc4,134,e383977ea40a7a37c78995234b784c3808e71280d391ab09b21972eac201b39c
Data/NRM/eccofs6km_roms_nrm_b.nc4,133,7a8bdbe9893134cc99a9f7dcaac45b4ab87d1bdd66174fb93c9bdf7b6a6e4d59
Data/NRM/eccofs6km_roms_nrm_i.nc4,134,14d4c5acc6f93ff78236f8b4200cc4c53c0f933326ad4fa62aa9e3f60fa34f48
Data/OBS/eccofs3km_adt_20190101.nc4,131,ca1575c5aa63a57837bb4bde9b8165a49aa0672327b7c1294d87d9e5c55ff19d
Data/OBS/eccofs3km_roms_obs_20190101.nc4,133,7b1b4c610d87e838a87e266d901cdb86113e387ab5ef8e69a344316eec87161f
Data/OBS/eccofs3km_salt_20190101.nc4,131,dbd0af5b04f7a29a3c228c64650cb2375a8a2bddc4e39cf8613f7ce937646333
Data/OBS/eccofs3km_sss_20190101.nc4,130,88cb897af445a1c72806b156edc4ca61ca241b506c201539042ce506fc10a602
Data/OBS/eccofs3km_sst_20190101.nc4,133,494fe2283328ee9f6a570d5e827bc709d19828981d43ded7ffa85858aa5f6a6e
Data/OBS/eccofs3km_temp_20190101.nc4,131,3166b2f72e87cd243e5ff208d2f6133db8d57d294cdb325285ca155ff323e2c9
Data/OBS/eccofs6km_adt_20190101.nc4,131,ae458db23b54f147719c13ac3ecff8a08848c823cfedb0602e5a04f84e47f4af
Data/OBS/eccofs6km_roms_obs_20190101.nc4,133,42f46b59ccfd8a55f869d9a623b063b8ef327c47adb71203cdd0bb97d03a650d
Data/OBS/eccofs6km_salt_20190101.nc4,131,6a4e842e41d81ce1aafd766df9cb7e44d197aa872dc6f1e0d01018c0dc363458
Data/OBS/eccofs6km_sss_20190101.nc4,130,fe03b9430fd1dcf5f6b218d136516ba362315c5586d5fd9cc9398f24152071c6
Data/OBS/eccofs6km_sst_20190101.nc4,133,75888a4ad1437f01e647416addded26704b5d3f1cf8a151dbca09ccc6f33ada7
Data/OBS/eccofs6km_temp_20190101.nc4,131,32f6825f96e9bd986acc86aefb0c0abc76fb735b0c4a5d4a430005217a188e21
Data/STD/eccofs3km_roms_std_b.nc4,133,5e23303a6bbf14daa7a3445490421cd75df188020c7f8f2a033f6fbb96b2f10c
Data/STD/eccofs3km_roms_std_i.nc4,135,4256a168fa0b57d42a0ba61d54b4db6e56bb136acbe0adc77836b9a0e4860cb2
Data/STD/eccofs6km_roms_std_b.nc4,133,d6565eb9c358d297526373ee1d393637cd3847ed517c367a9737de76517f47e3
Data/STD/eccofs6km_roms_std_i.nc4,134,21fd172f5c55138daf0a8deb7e3bd9eaff20492024a4796643ec400fd5457004
Data/varinfo.yaml,408943,88d17ab2e115e99b90ba9633f557bda3a35c94b161579317e578526ac3c9f09e
Data/varinfo_daily.yaml,408943,59cd2014a67c4c0ea37e1fc394b20e3dd020059ab9d36c860dd04cd5d894fa10
Forward/Readme.md,8582,c7092cc6b5fedf3ab4057da295c19e948388297f42eff2cec4082ba257ae64db
Forward/build_roms.csh,18229,7e1d1bae7f2d75e95d411b6a83a918492ea37a4b0dd9e917f82cfe9de218949e
Forward/build_roms.sh,18341,c95c6d8cb05ebd2fb405e35132a5efaf580d26ec9a56bd5748045bf3e7d568db
Forward/eccofs3.h,2389,a7e4711b1fdae228b27a4e6f5bc9fd690ca1b4daa3202c6e9bf72e8d0c09e8cc
Forward/rbl4dvar.in,63800,afdb6b0fbc24e5bff0ddafcf210df01e6a87de112cf4b25a02b55e48506887a1
Forward/roms_eccofs3km.in,175817,b2ae2dde846b8751627a542ff62edff69f3228d33c362c5b040259a241e8504e
RBL4DVAR_mixres/Readme.md,21820,dfd1b0e39191dca337fafd52b16fa71da0bcd430b1381952d29364d340d1e8cf
RBL4DVAR_mixres/build_split.csh,19498,e1d24e31d4672d72d4e2ae730fbc701b22a4f0b130cd33453267ed869810e921
RBL4DVAR_mixres/build_split.sh,19420,6813a0f12c473fd1d462a17ba0fbe55bc546dacf458813671052b4b55ef07bed
RBL4DVAR_mixres/cbuild_split.csh,25322,be2b819efc6e8e146c32997d80a27135db7a873653afa5fe89d8235f808db99f
RBL4DVAR_mixres/cbuild_split.sh,23997,278813b9472f5a2a2d82cfb6153a30a2b48dd9ada157fa7cd78b12c52427a578
RBL4DVAR_mixres/eccofs.h,2088,c216fe6f0938095e187cbe4cc339a5702453bd848db1e46b2dfa9059bc0c4f46
RBL4DVAR_mixres/roms_da_eccofs_era5.tmpl,175445,9f5e3d3cd35fecd025245e09bda5a8f899710f610646ab80f699f2407c30c13e
RBL4DVAR_mixres/roms_nl_eccofs_era5.tmpl,175707,71e447dc0f2689afb14389c61526d8d100988e12c90f7e9ac6add36efbe56ab1
RBL4DVAR_mixres/s4dvar.in,63765,43b3749590ed402951b2585fd72865eac56393ae2f072150a23213266dc2b42b
RBL4DVAR_mixres/submit_mixres_rbl4dvar.sh,38832,2007defb1859dcbf8eae9f9bc60ec18dab0e349e9f712213fa167580519cad25
docs/README.md,3182,cac77decb5c3b467b3cae5de9544bd5dedfaa1d1a1e2341172eb7a81181a443f
docs/ROMS_ChangeLog.md,422,99ee8d657cbc2ca5ed6e46b16d184c5f6b3413b58a99113af915ffbcd8f3ddf0
docs/pull_request_template.md,676,7a9c74d6e6d71fc042fc307d208f6afca45cbb5f5023316eff26f8e3231aaa05
