note,status,basis
models/ADCIRC/README.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manifest.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/01-docs-hub.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/02-getting-started.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/03-theory-and-formulation.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/04-theory-pdf-v44xx.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/05-input-files-reference.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/06-parameter-definitions.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/07-examples-index.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/08-official-example-problems.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/09-support-and-faq.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/10-github-repo-and-releases.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/11-testsuite.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/12-tooling-ecosystem.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/13-nws13-and-jma-msm-path.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/14-fort14-grid-bathymetry-boundaries.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/15-mesh-tools-and-grid-editing.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/16-bathymetry-and-subgrid-paths.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/17-boundary-and-forcing-inputs.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/18-nws13-schema-and-local-jma-msm-branch.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/27-github-oceanmesh2d-repo-review.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/28-github-oceanmesh-python-repo-review.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/manual-notes/29-github-ocsmesh-repo-review.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/source-analysis/adcirc-3d-mode.md,REVIEW_ONLY,"변경된 파일 인용(src/cstart.F,src/gwce.F,src/hstart.F,src/read_input.F,src/timestep.F,src/vsmy.F,src/write_output.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,REVIEW_ONLY,"변경된 파일 인용(src/read_input.F,src/timestep.F,src/vsmy.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요"
models/ADCIRC/source-analysis/adcirc-baroclinic-coupling.md,REVIEW_ONLY,변경된 파일 인용(src/vsmy.F) — 인용 지점은 절·파일 단위이거나 변경 hunk 밖. snapshot 갱신 시 줄 번호 이동 확인 필요
models/ADCIRC/source-analysis/adcirc-baseline-anatomy.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/source-analysis/adcirc-baseline-selection.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
models/ADCIRC/source-analysis/adcirc-bathymetry-input-foundation.md,NO_ACTION,이번 14커밋에서 변경된 파일을 인용하지 않음
