path,bytes,sha256
commit-details/40201037d1a6.json,8794,9b43f513e371bdc4a8f4b1789af482bdcf2c10ccd983ca2b16137363fc901f04
commit-details/5203dafc6871.json,5376,e3a637e51787aec1881886f53592bfabf2886687945240bb86eb27b7d0033819
commit-details/69f5fbba209e.json,4024,1de28e3d6e20a96adbe52870f4293df7fa4454c57fdfba79ed017107ab41fea7
commit-details/8a80ef218a6c.json,17399,ed51ba449e0e42050efb82709207e055ad8ed847e7ed4cbd5d1067450b923b62
commit-details/8c547d26c19b.json,7567,ed44a2eeb08e43c76e01637696bbad7303e9983be41d568d1fe43a5b44e5cc63
commit-details/976fc5b6cafb.json,47563,4e7c63061e92b1f88486fba6e5bed1e3ea22094d207de33b9e438e9cc16efc95
commit-details/aef3777ed09d.json,6166,0cfbcf91beb24187c7eda5adbfd24253b0752fcb5e8e729171ec5101037b948e
commit-details/bdc531653bef.json,12233,bc6c58435899b664ec40c41b5ca48b2557fc26b471b96ba1df724ff92d4c2c30
commit-details/bf6957a976d9.json,6461,6475a51623204539267541850ee6313f776ffa0c82d52fb093beab9a91b5a5b0
commit-details/daae7d9f9edc.json,5370,1497cf452594419de3f3b22ce038b6a67c890d4978951a34df144945068be194
commit-details/e5995720925d.json,11808,18cb0e60a5bd613cd74fb198b173b4d6349ebd9175fcda64cb004705ff7085ad
commit-details/e65ef6063673.json,37728,d28efcc3816d4b25051098a37bb16fcf8691fc9ac9e6900fab1e9bee98c53f01
commit-details/e8b62a70db39.json,5043,48dc6c56b13e2c45e052da5b4986ce04177a1a7199a5a2a89bfde949680863e3
commit-details/f7e98050e025.json,5075,eed6e5f82995f3d972075bf9e85de7e4655ed66d004e3f9c7fc0f98c2ecc9d83
commits/40201037d1a6.json,3495,4b973a7bf283ebf685131efebbc553af9265ea7834e0f407e0138a5d37f7202f
commits/5203dafc6871.json,3980,d5980ecd05eb69a71817c3945b4fc35aaf644dcb39c0a38d0f1ee61d218d504b
commits/69f5fbba209e.json,3537,f41e5225e629e3d752f393b89a80c2ee38ac392956b701e51ff432ac53c72f09
commits/8a80ef218a6c.json,3517,2bc6b7772876c317791f2de4b22eb6f6d42e0a78425c3d784758f2889ec1f0e5
commits/8c547d26c19b.json,3665,8d52777bccc6211ab34e621d9685a7a1b69c7e7df1cdec869282e2e04dc227e3
commits/976fc5b6cafb.json,5144,76a82c2edd607dc9134e3914b033f1f68cf1d387996157f2e7e630e3edb261c4
commits/aef3777ed09d.json,3538,4361eb4d4165c92f915c1b51acdd0d3a2928bff947e9db30044bd7e0e97d2482
commits/bdc531653bef.json,4654,16d69a81ab73ab052c70a65c8e1180c8a4c5fbae8a13edbf7abb4095176e5612
commits/bf6957a976d9.json,3678,81f21379f8a21a3229b0c1b225db84cc94a31b64a629bef641f7199762e1514a
commits/daae7d9f9edc.json,3573,efeee6bb22ac51975c62c73e6b7b8d1d1bd010ca50817eee0bb2cc606a628ec1
commits/e5995720925d.json,3576,e1a62d9326e704c9193f6501a7d8202b0168789e10640266d70f5e72380a9b14
commits/e65ef6063673.json,3665,1986e6291a5c68fbf3df1670bb9d47e0577b19a524d00f27fc41c58154004f43
commits/e8b62a70db39.json,3725,dca703400d97c6c21daa4cc39c0678317aa9f64b4b1e9eac79de63363160780d
commits/f7e98050e025.json,3685,ccee24aa080544d6426ad3edf1fb3a2dafb1120ec0b975b297b000df0403f27c
compare.json,161522,c2beac404614c1baa3f5bec6bcf060857de33d4f4e4db43887eb53772691340d
patches/CITATION.cff.patch,2364,bb78fe72e82ae7d0d3d650b7640f9745734a4a3d5c19b0c14e03df0e85d09c76
patches/README.md.patch,495,2a931d0e7e8e7f48c1026461999ed6190ac0699631b924ada46119c4fea8caed
patches/prep__prep.F.patch,8389,24e4268b5cdd10b6880c7751dd5d87740812b2d62cd9c150600bcb3fa4275241
patches/prep__presizes.F.patch,1386,1188af477bc210046a0c98d643c304bdff981f3d2c2df77b796659604e30175b
patches/src__constants.F90.patch,461,36668d62124ebd0450c094041f29d17237ae6bd8f3f99ecc696537d894971d13
patches/src__couple2swan.F.patch,5092,3139603bc2d841eba03270f6645b981c71a81e7ce9f67047e698dd289316dd89
patches/src__cstart.F.patch,668,d2dc04e4db967c1e45de2707c78f7a46619f5e48c8d71ee8d0a6b7f7efdb5ad7
patches/src__global.F.patch,1395,6b41829bb91287391896d15324f88c6324053c7bad9ccc7e9e8ed1ead5788719
patches/src__gwce.F.patch,311,0afe6703ac0392eebdcd433019f659e61347be7b80e5b43c9cb5d9f47db5ff19
patches/src__hstart.F.patch,4128,3e9d77f67ae4f7965c05a1402d49ad0183069f057681ea4a2be42e3627aaae76
patches/src__mesh.F.patch,3644,2f69c6cc477293eaa34428d4c97be5d8ebb19f9686d50e3d83c8b3acc1c4c5b0
patches/src__netcdfio.F90.patch,11357,76ee949255bb31a8a0583c6e7e1ef11ceac8f932b02e3f61d694cc30de907856
patches/src__nodalattr.F.patch,12370,289b77c662faec79fdccaeb3e8cf497d21b060587802b46b7794e26ea560f7c6
patches/src__owiwind.F.patch,471,4f5a20ffb7bb122f25d3062a398fa402a2c854e233105f1718249e50e8f06d7e
patches/src__read_input.F.patch,6568,8f2da9a785fd1350d2186e574a0c1266dbbcd8a5df6fc0996a3f255d89e2891a
patches/src__timestep.F.patch,737,8cb6bcc8d802b86f784b56c72701db7f388a1eca54a86d48b681b28a3ef2abfc
patches/src__vsmy.F.patch,2461,a16ae41e530c1e83d2c25aabea897b09510a3dfbdfa10660a2439dc702e57284
patches/src__weir_boundary.F90.patch,567,ef6aff0aaa315f05656ddc65b02d1bdb9bdc08a44488647dc4131d50a2603043
patches/src__write_output.F.patch,9691,f805ec68bb44c955263def8a786f34965f7783019539142ac32ad68d83990222
patches/thirdparty__swan__SwanBpntlist.ftn90.patch,2513,a54bc0755a2c7858a56e4f58a12c2abb3b86cecf5798c00a0f12623cb16086ae
patches/thirdparty__swan__SwanCompUnstruc.ftn90.patch,2137,4fcab17c9bf07d64156cb03855556ab0eb56914cf59b29a2c5126ad4791030c1
patches/thirdparty__swan__SwanGriddata.ftn90.patch,758,228ec6b19de2a353642ac12808b51cdc2afc6b50ee1e6cb562ad4346a666afa2
patches/thirdparty__swan__SwanReadADCGrid.ftn90.patch,2145,204e6c506e499e0fcf0ab4addac06421b1450d154f59cfd153cf2b0d4d4a5574
patches/thirdparty__swan__SwanVTKPDataSets.ftn90.patch,731,78ab3cd8dbcfcc408c57bb787e396907174ed28996b56edcfbeedbf6bbcce526
patches/thirdparty__swan__swanout2.ftn.patch,1584,5faee24f982e6b24c7c800c96cd8eb56e066ccf0f71cba4308cf2de5f588c2a9
patches/thirdparty__swan__swanparll.ftn.patch,459,dcfff584ffce531240619aea85b09f562281ce14f942e6ee7bba70ea7d6be515
patches/thirdparty__swan__swanpre1.ftn.patch,666,59071f659ceb0e88138b82de3b9f41baf21f3c943cbc93aae9bf087abea488b7
patches/thirdparty__swan__swanpre2.ftn.patch,3764,75984c8f80343f954848643d4221ee89f8676807e3dd1991d8e76c23ae40803e
patches/thirdparty__swan__swmod1.ftn.patch,458,abcd84580d650da18842ec831a322aa97d8f3dc8b3d0193a67d2432f4032a061
patches/thirdparty__swan__swmod2.ftn.patch,1367,c8d8ed6afef9736f46d04e07f36c6ed25bf1e32e1c82b530eb330b06f3852a33
patches/util__adcircResultsComparison.F90.patch,526,36d81f6258cb5727fce5c5f12c84e537bb71f12d85de767be8ab26d4ad9267e2
