note,status,historical_source_provenance,current_validated_against,validation_kind,validated_on,maintenance
models/ROMS/README.md,NO_ACTION,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,,이번 범위에서 재검증하지 않음,,
models/ROMS/manifest.md,NO_ACTION,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,,이번 범위에서 재검증하지 않음,,
models/ROMS/manual-notes/roms-exercises-catalog.md,NO_ACTION,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,,이번 범위에서 재검증하지 않음,,
models/ROMS/manual-notes/roms-wiki-cppdefs-options.md,NO_ACTION,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,,이번 범위에서 재검증하지 않음,,
models/ROMS/manual-notes/roms-wiki-getting-started.md,NO_ACTION,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,,이번 범위에서 재검증하지 않음,,
models/ROMS/manual-notes/roms-wiki-overview.md,NO_ACTION,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,,이번 범위에서 재검증하지 않음,,
models/ROMS/source-analysis/roms_4dvar.md,PENDING_UNIT_B,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,,내용 정정 단위로 분리(파일명·단위·상태 서술) — 별도 승인 대기,,
models/ROMS/source-analysis/roms_4dvar_drivers.md,LINE_REFERENCE_ONLY,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,57aecf589a408b1e5490d2db7f9bd0196062a44e,"좌표만 갱신, 시작·끝 줄 내용 동일성 확인",2026-09-20,
models/ROMS/source-analysis/roms_adjoint_framework.md,NO_ACTION,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,,이번 범위에서 재검증하지 않음,,
models/ROMS/source-analysis/roms_adjoint_model.md,NO_ACTION,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,,이번 범위에서 재검증하지 않음,,
models/ROMS/source-analysis/roms_advection.md,NO_ACTION,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,,이번 범위에서 재검증하지 않음,,
models/ROMS/source-analysis/roms_analytical_functionals.md,LINE_REFERENCE_ONLY,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,57aecf589a408b1e5490d2db7f9bd0196062a44e,"좌표만 갱신, 시작·끝 줄 내용 동일성 확인",2026-09-20,
models/ROMS/source-analysis/roms_atmospheric_forcing.md,LINE_REFERENCE_ONLY,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,57aecf589a408b1e5490d2db7f9bd0196062a44e,"좌표만 갱신, 시작·끝 줄 내용 동일성 확인",2026-09-20,
models/ROMS/source-analysis/roms_baroclinic_3d.md,SEMANTICALLY_UPDATED,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,57aecf589a408b1e5490d2db7f9bd0196062a44e,"의미 수정 + 좌표 갱신, 새 소스 직접 대조",2026-09-20,
models/ROMS/source-analysis/roms_barotropic_2d.md,LINE_REFERENCE_ONLY,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,57aecf589a408b1e5490d2db7f9bd0196062a44e,"좌표만 갱신, 시작·끝 줄 내용 동일성 확인",2026-09-20,
models/ROMS/source-analysis/roms_biology.md,NO_ACTION,32c79b7435ee0a1a2cdd78fee07264e3bd93bb98,,이번 범위에서 재검증하지 않음,,
